Company Name,Company Ticker,Name,Age,Position,Appointed,
1-800-Flowers.Com Inc,FLWS.O,Adam Hanft,69,Independent Director,2019,
1-800-Flowers.Com Inc,FLWS.O,Arnie Leap,51,"Senior Vice President, Chief Information Officer",2013,
1-800-Flowers.Com Inc,FLWS.O,Celia R. Brown,65,Independent Director,2016,
1-800-Flowers.Com Inc,FLWS.O,Christopher G. McCann,58,"President, Chief Executive Officer, Director",2016,
1-800-Flowers.Com Inc,FLWS.O,Dinesh Popat,59,President - BloomNet,2019,
1-800-Flowers.Com Inc,FLWS.O,Eugene F. DeMark,72,Independent Director,2012,
1-800-Flowers.Com Inc,FLWS.O,Geralyn R. Breig,57,Independent Director,2012,
1-800-Flowers.Com Inc,FLWS.O,Gerard M. Gallagher,65,Senior Vice President - Business Affairs,2018,
1-800-Flowers.Com Inc,FLWS.O,James A. Cannavino,75,Independent Director,2007,
1-800-Flowers.Com Inc,FLWS.O,James Francis McCann,68,"Executive Chairman of the Board, Founder",2016,
1-800-Flowers.Com Inc,FLWS.O,Katherine Oliver,56,Independent Director,2017,
1-800-Flowers.Com Inc,FLWS.O,Larry Zarin,65,Independent Director,2009,
1-800-Flowers.Com Inc,FLWS.O,Leonard J. Elmore,67,Independent Director,2002,
1-800-Flowers.Com Inc,FLWS.O,Michael R. Manley,53,"Senior Vice President, General Counsel, Corporate Secretary",2018,
1-800-Flowers.Com Inc,FLWS.O,Sean P. Hegarty,62,Independent Director,2014,
1-800-Flowers.Com Inc,FLWS.O,Thomas Hartnett,56,President - Consumer Floral,2013,
1-800-Flowers.Com Inc,FLWS.O,William E. Shea,60,"Chief Financial Officer, Senior Vice President, Treasurer",2018,
1st Constitution Bancorp,FCCY.O,Antonio L. Cruz,63,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,Carmen M. Penta,74,Independent Director,2017,
1st Constitution Bancorp,FCCY.O,Charles S. Crow,69,Independent Chairman of the Board,2005,
1st Constitution Bancorp,FCCY.O,Edwin J. Pisani,69,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,J Lynne Cannon,72,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,James G. Aaron,73,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,John T. Andreacio,55,"Executive Vice President, Chief Lending and Credit Officer",2014,
1st Constitution Bancorp,FCCY.O,Raymond R. Ciccone,,Director,2019,
1st Constitution Bancorp,FCCY.O,Robert F. Mangano,73,"President, Chief Executive Officer, Director",,
1st Constitution Bancorp,FCCY.O,Roy D. Tartaglia,68,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,Stephen J. Gilhooly,66,"Chief Financial Officer, Senior Vice President, Treasurer",2014,
1st Constitution Bancorp,FCCY.O,William James Barrett,63,Independent Director,2017,
1st Constitution Bancorp,FCCY.O,William M. Rue,71,"Corporate Secretary, Independent Director",,
1st Source Corporation,SRCE.O,Andrea G. Short,55,"Chief Financial Officer, Executive Vice President, Treasurer of the Company and the Bank",2014,
1st Source Corporation,SRCE.O,Christopher J. Murphy,49,Director,2011,
1st Source Corporation,SRCE.O,Christopher J. Murphy,72,"Chairman of the Board and Chief Executive Officer, 1st Source and 1st Source Bank",2014,
1st Source Corporation,SRCE.O,Daniel B. Fitzpatrick,61,Independent Director,1995,
1st Source Corporation,SRCE.O,James R. Seitz,66,"President of 1st Source Corporation, President of 1st Source Bank",2014,
1st Source Corporation,SRCE.O,Jeffrey L. Buhr,59,"Executive Vice President and Chief Credit Officer, 1st Source Bank",2014,
1st Source Corporation,SRCE.O,John B. Griffith,61,"Executive Vice President, Chief Administrative Officer, General Counsel, Secretary",2011,
1st Source Corporation,SRCE.O,John F. Affleck-Graves,68,Independent Director,2019,
1st Source Corporation,SRCE.O,John T. Phair,69,Independent Director,2004,
1st Source Corporation,SRCE.O,Mark D. Schwabero,67,Independent Director,2004,
1st Source Corporation,SRCE.O,Melody Birmingham-Byrd,47,Independent Director,2018,
1st Source Corporation,SRCE.O,Rex Martin,67,Independent Director,1996,
1st Source Corporation,SRCE.O,Timothy K. Ozark,69,Lead Independent Director,2011,
1st Source Corporation,SRCE.O,Vinod M. Khilnani,67,Independent Director,2013,
22nd Century Group Inc,XXII.A,Andrea S. Jentsch,49,Chief Financial Officer,2019,
22nd Century Group Inc,XXII.A,John T. Brodfuehrer,61,Vice President - Strategy,2019,
22nd Century Group Inc,XXII.A,Juan Sanchez Tamburrino,,Vice President - Research & Development,2017,
22nd Century Group Inc,XXII.A,Michael J. Zercher,48,"President, Chief Operating Officer",2019,
22nd Century Group Inc,XXII.A,Nora B. Sullivan,61,Chairman of the Board,2020,
22nd Century Group Inc,XXII.A,Paul Rushton,55,Vice President - Plant Biotechnology,2015,
22nd Century Group Inc,XXII.A,Richard M. Sanders,66,Independent Director,2014,
22nd Century Group Inc,XXII.A,Roger D. O'Brien,71,Independent Director,2020,
22nd Century Group Inc,XXII.A,Thomas L. James,60,"Vice President, General Counsel, Secretary",2014,
2U Inc,TWOU.O,Alexis Maybank,44,Independent Director,2018,
2U Inc,TWOU.O,Christopher J. Paucek,48,"Chief Executive Officer, Director",2012,
2U Inc,TWOU.O,Coretha M. Rushing,63,Independent Director,2016,
2U Inc,TWOU.O,Earl Lewis,63,Independent Director,,
2U Inc,TWOU.O,Edward S. Macias,75,Independent Director,2014,
2U Inc,TWOU.O,Gregory K. Peters,48,Independent Director,2018,
2U Inc,TWOU.O,Harsha Mokkarala,39,Chief Revenue officer,2018,
2U Inc,TWOU.O,James Kenigsberg,43,Chief Technology Officer,2010,
2U Inc,TWOU.O,Jennifer Ogden-Reese,,Chief Marketing Officer,2019,
2U Inc,TWOU.O,John B. Ellis,51,"Senior Vice President, Corporate Controller and Chief Accounting Officer",2018,
2U Inc,TWOU.O,John M. Larson,67,Independent Director,2009,
2U Inc,TWOU.O,Mark J. Chernis,52,Chief Operating Officer,2018,
2U Inc,TWOU.O,Matt Norden,37,Co-General Counsel,2017,
2U Inc,TWOU.O,Paul A. Maeder,65,Independent Chairman of the Board,2012,
2U Inc,TWOU.O,Paul S. Lalljie,46,Chief Financial Officer,2019,
2U Inc,TWOU.O,Robert M. Stavis,56,Independent Director,2011,
2U Inc,TWOU.O,Sallie L. Krawcheck,54,Independent Director,,
2U Inc,TWOU.O,Timothy M. Haley,64,Independent Director,2010,
2U Inc,TWOU.O,Valerie B. Jarrett,62,Independent Director,2017,
3D Systems Corporation,DDD,Andrew M. Johnson,44,"Executive Vice President,Chief Legal Officer and Secretary",2016,
3D Systems Corporation,DDD,Charles G. McClure,65,Independent Chairman of the Board,2018,
3D Systems Corporation,DDD,Charles W. Hull,79,"Chief Technology Officer, Executive Vice President, Director",2003,
3D Systems Corporation,DDD,Herbert Koeck,58,"Executive Vice President, Global Go To Market",2016,
3D Systems Corporation,DDD,Jeffrey Wadsworth,69,Independent Director,2017,
3D Systems Corporation,DDD,Jimmy D. Kever,66,Independent Director,1996,
3D Systems Corporation,DDD,John J. Tracy,64,Independent Director,2017,
3D Systems Corporation,DDD,Kevin S. Moore,64,Independent Director,1999,
3D Systems Corporation,DDD,Malissia Clinton,50,Independent Director,2019,
3D Systems Corporation,DDD,Philip C. Schultz,56,"Executive Vice President, Operations",2018,
3D Systems Corporation,DDD,Thomas W. Erickson,68,Independent Director,2015,
3D Systems Corporation,DDD,Todd A. Booth,48,"Chief Financial Officer, Executive Vice President",2019,
3D Systems Corporation,DDD,Vyomesh I. Joshi,64,"President, Chief Executive Officer, Director",2016,
3D Systems Corporation,DDD,William David Humes,54,Independent Director,2014,
3D Systems Corporation,DDD,William Edward Curran,70,Independent Director,2008,
3M Co,MMM,Ahmet Muhtar Kent,66,Independent Director,2013,
3M Co,MMM,Amy E. Hood,47,Independent Director,2017,
3M Co,MMM,Ashish K. Khandpur,51,Executive Vice President - Electronics & Energy Business Group.,2017,
3M Co,MMM,Dambisa F. Moyo,50,Independent Director,2018,
3M Co,MMM,David B. Dillon,67,Independent Director,2015,
3M Co,MMM,Edward M. Liddy,73,Independent Director,2000,
3M Co,MMM,Eric D Hammes,44,Senior Vice President - Business Transformation and Information Technology,2017,
3M Co,MMM,Gregory R. Page,68,Independent Director,2016,
3M Co,MMM,Herbert L. Henkel,70,Independent Director,2007,
3M Co,MMM,Ivan K. Fong,57,"Senior Vice President - Legal Affairs, General Counsel",2012,
3M Co,MMM,James L. Bauman,59,"Executive Vice President, Industrial Business Group.",2017,
3M Co,MMM,Joaquin Delgado,59,Executive Vice President - Consumer Business Group,2016,
3M Co,MMM,John Patrick Banovetz,51,"Senior Vice President , Research & Development, Chief Technology Officer",2017,
3M Co,MMM,Jon T. Lindekugel,54,Senior Vice President - Manufacturing and Supply Chain,2018,
3M Co,MMM,Julie L. Bushman,58,Executive Vice President - International Operations,2017,
3M Co,MMM,Kristen Marie Ludgate,56,Senior Vice President - Human Resources,2018,
3M Co,MMM,Michael F. Roman,59,"Chairman of the Board, Chief Executive Officer",2019,
3M Co,MMM,Michael G. Vale,53,Executive Vice President - Health Care Business Group,2016,
3M Co,MMM,Michael L. Eskew,69,Lead Independent Director,2012,
3M Co,MMM,Mojdeh Poul,55,Executive Vice President - Safety and Graphics Business Group,2018,
3M Co,MMM,Nicholas C. Gangestad,54,"Chief Financial Officer, Senior Vice President",2014,
3M Co,MMM,Pamela J. Craig,62,Independent Director,2019,
3M Co,MMM,Patricia A. Woertz,66,Independent Director,2016,
3M Co,MMM,Paul A. Keel,49,Senior Vice President - Business Development and Marketing-Sales,2017,
3M Co,MMM,Theresa E. Reinseth,46,"Chief Accounting Officer, Vice President, Corporate Controller",2019,
3M Co,MMM,Thomas K. Brown,63,Independent Director,2013,
"8x8, Inc.",EGHT.A,Bryan R. Martin,51,"Chairman of the Board, Chief Technology Officer",2013,
"8x8, Inc.",EGHT.A,Dejan Deklich,44,Chief Product Officer,2017,
"8x8, Inc.",EGHT.A,Elizabeth Harriet Theophille,52,Independent Director,2019,
"8x8, Inc.",EGHT.A,Eric Salzman,52,Independent Director,2012,
"8x8, Inc.",EGHT.A,Jaswinder Pal Singh,53,Lead Independent Director,2019,
"8x8, Inc.",EGHT.A,Matthew P. Zinn,55,"Senior Vice President, General Counsel, Corporate Secretary, Chief Privacy Officer",2018,
"8x8, Inc.",EGHT.A,Monique Bonner,48,Independent Director,2018,
"8x8, Inc.",EGHT.A,Steven H. Gatoff,51,Chief Financial Officer,2018,
"8x8, Inc.",EGHT.A,Todd Ford,52,Independent Director,2019,
"8x8, Inc.",EGHT.A,Vikram Verma,54,"Chief Executive Officer, Director",2013,
"8x8, Inc.",EGHT.A,Vladimir Jacimovic,55,Independent Director,2014,
A. O. Smith Corp,AOS,Ajita G. Rajendra,67,Executive Chairman of the Board,2018,
A. O. Smith Corp,AOS,Anindadeb Vjaykumar DasGupta,52,"Senior Vice President, President – A. O. Smith Holdings (Barbados) SRL",2018,
A. O. Smith Corp,AOS,Bruce M. Smith,70,Independent Director,2018,
A. O. Smith Corp,AOS,Charles T. Lauber,56,Chief Financial Officer,2019,
A. O. Smith Corp,AOS,D. Samuel Karge,44,"Senior Vice President, President – North America Water Treatment",2018,
A. O. Smith Corp,AOS,Daniel L. Kempken,,Senior Vice President - Corporate Development and Strategy,2019,
A. O. Smith Corp,AOS,David R. Warren,55,"Senior Vice President, President and General Manager North America Water Heater",2017,
A. O. Smith Corp,AOS,Gene C. Wulf,68,Independent Director,2019,
A. O. Smith Corp,AOS,Helen E. Gurholt,44,"Principal Accounting Officer, Vice President, Controller",2019,
A. O. Smith Corp,AOS,Idelle K. Wolf,66,Independent Director,2005,
A. O. Smith Corp,AOS,Ilham Kadri,50,Independent Director,2016,
A. O. Smith Corp,AOS,James F. Stern,56,"Executive Vice President, General Counsel, Secretary",2007,
A. O. Smith Corp,AOS,Kevin J. Wheeler,59,"President, Chief Executive Officer, Director",2018,
A. O. Smith Corp,AOS,Mark A. Petrarca,55,Senior Vice President - Human Resources and Public Affairs,2006,
A. O. Smith Corp,AOS,Mark D. Smith,57,Independent Director,2001,
A. O. Smith Corp,AOS,Patricia K. Ackerman,58,"Senior Vice President – Investor Relations, Treasurer and Corporate Responsibility and Sustainability",2019,
A. O. Smith Corp,AOS,Paul R. Dana,56,Senior Vice President – Global Operations,2019,
A. O. Smith Corp,AOS,Paul W. Jones,70,Independent Director,2014,
A. O. Smith Corp,AOS,Peter R. Martineau,64,"Senior Vice President, Chief Information Officer",2016,
A. O. Smith Corp,AOS,Robert J. Heideman,52,"Senior Vice President, Chief Technology Officer",2013,
A. O. Smith Corp,AOS,Ronald D. Brown,66,Independent Director,2013,
A. O. Smith Corp,AOS,Wallace E. Goodwin,63,"Senior Vice President, President and General Manager – Lochinvar, LLC",2018,
A. O. Smith Corp,AOS,Wei Ding,56,"Senior Vice President, President – A. O. Smith China",2017,
A. O. Smith Corp,AOS,William P. Greubel,67,Presiding Independent Director,2019,
A10 Networks Inc,ATEN.A,Alan S. Henricks,69,Independent Director,2014,
A10 Networks Inc,ATEN.A,Dhrupad Trivedi,52,"President, Chief Executive Officer, Interim Executive Vice President of Worldwide Sales, Director",2020,
A10 Networks Inc,ATEN.A,Eric B. Singer,45,Director,2019,
A10 Networks Inc,ATEN.A,Gunter Reiss,49,Vice President - Worldwide Marketing,2017,
A10 Networks Inc,ATEN.A,J. Michael Dodson,58,Director,2020,
A10 Networks Inc,ATEN.A,Peter Y. Chung,52,Independent Director,2013,
A10 Networks Inc,ATEN.A,Rajkumar Jalan,57,Chief Technology Officer,2008,
A10 Networks Inc,ATEN.A,Robert D. Cochran,61,"Executive Vice President - Legal and Corporate Collaboration, Chief Risk Compliance Officer, Secretary,",2018,
A10 Networks Inc,ATEN.A,Tom Constantino,54,"Chief Financial Officer, Executive Vice President",2017,
A10 Networks Inc,ATEN.A,Tor R. Braham,62,Independent Director,2018,
"AAON, Inc.",AAON.O,A. H. McElroy,56,Independent Director,2007,
"AAON, Inc.",AAON.O,Angela E. Kouplen,45,Independent Director,2016,
"AAON, Inc.",AAON.O,Caron A. Lawhorn,58,Independent Director,2019,
"AAON, Inc.",AAON.O,Gary D. Fields,59,"President, Director",2016,
"AAON, Inc.",AAON.O,Jack E. Short,78,Lead Independent Director,2019,
"AAON, Inc.",AAON.O,Mikel D. Crews,61,Vice President - Operations,2017,
"AAON, Inc.",AAON.O,Norman H. Asbjornson,83,"Chief Executive Officer, Director",2016,
"AAON, Inc.",AAON.O,Paul K. Lackey,75,Independent Director,2007,
"AAON, Inc.",AAON.O,Rebecca A. Thompson,40,"Chief Accounting Officer, Treasurer",2017,
"AAON, Inc.",AAON.O,Scott M. Asbjornson,50,"Chief Financial Officer, Vice President - Finance",2012,
"AAON, Inc.",AAON.O,Stephen O. LeClair,50,Independent Director,2017,
AAR Corp.,AIR,Anthony K. Anderson,63,Independent Director,2012,
AAR Corp.,AIR,Christopher A. Jessup,41,"Vice President, Chief Commercial Officer",2017,
AAR Corp.,AIR,David P. Storch,66,Chairman of the Board,2018,
AAR Corp.,AIR,Duncan J. McNabb,67,Independent Director,2017,
AAR Corp.,AIR,Eric S. Pachapa,46,"Chief Accounting Officer, Vice President, Controller",2016,
AAR Corp.,AIR,James E. Goodwin,75,Independent Director,2002,
AAR Corp.,AIR,Jennifer L. Vogel,57,Independent Director,2016,
AAR Corp.,AIR,Jessica A. Garascia,,General Counsel,2020,
AAR Corp.,AIR,John M. Holmes,42,"President, Chief Executive Officer, Director",2018,
AAR Corp.,AIR,Marc Jay Walfish,67,Independent Director,2003,
AAR Corp.,AIR,Michael R. Boyce,71,Independent Director,2005,
AAR Corp.,AIR,Patrick J. Kelly,64,Independent Director,2006,
AAR Corp.,AIR,Peter Pace,73,Independent Director,2012,
AAR Corp.,AIR,Ronald B. Woodard,76,Independent Director,2004,
AAR Corp.,AIR,Sean M. Gillen,33,"Chief Financial Officer, Vice President",2019,
"Aaron's, Inc.",AAN,Curtis Linn Doman,46,"Chief Product Officer Progressive,Director",2017,
"Aaron's, Inc.",AAN,Cynthia N. Day,53,Independent Director,2011,
"Aaron's, Inc.",AAN,Douglas A. Lindsay,48,President - Aaron’s Business,2017,
"Aaron's, Inc.",AAN,Douglas C. Curling,64,Independent Director,2016,
"Aaron's, Inc.",AAN,Hubert L. Harris,75,Independent Director,2012,
"Aaron's, Inc.",AAN,John W. Robinson,47,"President, Chief Executive Officer, Director",2016,
"Aaron's, Inc.",AAN,Kathy T. Betty,63,Independent Director,2012,
"Aaron's, Inc.",AAN,Kelly H. Barrett,54,Independent Director,2019,
"Aaron's, Inc.",AAN,Ray M. Robinson,71,Independent Chairman of the Board,2014,
"Aaron's, Inc.",AAN,Robert P. Sinclair,57,"Vice President, Corporate Controller",1999,
"Aaron's, Inc.",AAN,Robert W. Kamerschen,51,"Executive Vice President, Chief Administrative Officer, General Counsel, Corporate Secretary",2016,
"Aaron's, Inc.",AAN,Ryan K. Woodley,42,"Chief Executive Officer of Progressive Finance Holdings, LLC",2015,
"Aaron's, Inc.",AAN,Steven A. Michaels,47,"Chief Financial Officer, President - Strategic Operations",2016,
"Aaron's, Inc.",AAN,Walter G. Ehmer,53,Independent Director,2016,
Abbott Laboratories,ABT,Brian B. Yoor,49,"Chief Financial Officer, Executive Vice President - Finance",2017,
Abbott Laboratories,ABT,Daniel Gesua Sive Salvadori,40,"Senior Vice President - Established Pharmaceuticals, Latin America.",2014,
Abbott Laboratories,ABT,Daniel J. Starks,64,Independent Director,2017,
Abbott Laboratories,ABT,Darren W McDew,,Director,2019,
Abbott Laboratories,ABT,Edward M. Liddy,73,Independent Director,2010,
Abbott Laboratories,ABT,Glenn Fletcher Tilton,70,Independent Director,2007,
Abbott Laboratories,ABT,Hubert L. Allen,53,"Executive Vice President, General Counsel, Secretary",2013,
Abbott Laboratories,ABT,Jaime Contreras,62,"Senior Vice President - Core Laboratory Diagnostics, Commercial Operations",2013,
Abbott Laboratories,ABT,John G. Stratton,58,Independent Director,2017,
Abbott Laboratories,ABT,Michelle A. Kumbier,51,Independent Director,2018,
Abbott Laboratories,ABT,Miles D. White,64,"Chairman of the Board, Chief Executive Officer",1999,
Abbott Laboratories,ABT,Nancy McKinstry,60,Independent Director,2011,
Abbott Laboratories,ABT,Phebe N. Novakovic,61,Independent Director,2010,
Abbott Laboratories,ABT,Robert B. Ford,45,"President, Chief Operating Officer",2018,
Abbott Laboratories,ABT,Robert J. Alpern,68,Independent Director,2008,
Abbott Laboratories,ABT,Roxanne S. Austin,58,Independent Director,2000,
Abbott Laboratories,ABT,Sally E. Blount,57,Independent Director,2011,
Abbott Laboratories,ABT,Samuel C. Scott,74,Independent Director,2007,
Abbott Laboratories,ABT,William A. Osborn,71,Lead Independent Director,2013,
AbbVie Inc,ABBV.A,Azita Saleki-Gerhardt,55,Executive Vice President - Operations,2018,
AbbVie Inc,ABBV.A,Brett J. Hart,49,Independent Director,2016,
AbbVie Inc,ABBV.A,Brian L. Durkin,58,"Vice President, Controller",2018,
AbbVie Inc,ABBV.A,Carlos Alban,56,"Vice Chairman, Chief Commercial Officer",2018,
AbbVie Inc,ABBV.A,Edward J. Rapp,61,Independent Director,2013,
AbbVie Inc,ABBV.A,Edward M. Liddy,73,Independent Director,2013,
AbbVie Inc,ABBV.A,Frederick H. Waddell,65,Independent Director,2013,
AbbVie Inc,ABBV.A,Glenn Fletcher Tilton,70,Lead Independent Director,2013,
AbbVie Inc,ABBV.A,Henry O. Gosebruch,46,"Executive Vice President, Chief Strategy Officer",2015,
AbbVie Inc,ABBV.A,Jeffrey R. Stewart,50,"Senior Vice President, U.S. Commercial Operations",2018,
AbbVie Inc,ABBV.A,Laura J. Schumacher,55,"Vice Chairman, External Affairs and Chief Legal Officer",2018,
AbbVie Inc,ABBV.A,Melody B. Meyer,61,Independent Director,2017,
AbbVie Inc,ABBV.A,Michael E. Severino,52,"President, Vice Chairman",2018,
AbbVie Inc,ABBV.A,Nicholas Donoghoe,38,Senior Vice President - Enterprise Innovation,2019,
AbbVie Inc,ABBV.A,Rebecca B. Roberts,66,Independent Director,2018,
AbbVie Inc,ABBV.A,Richard A. Gonzalez,65,"Chairman of the Board, Chief Executive Officer",2013,
AbbVie Inc,ABBV.A,Robert A. Michael,48,"Chief Financial Officer, Senior Vice President",2018,
AbbVie Inc,ABBV.A,Robert J. Alpern,68,Independent Director,2013,
AbbVie Inc,ABBV.A,Roxanne S. Austin,58,Independent Director,2013,
AbbVie Inc,ABBV.A,Timothy J. Richmond,52,"Chief Human Resource Officer, Executive Vice President",2018,
AbbVie Inc,ABBV.A,William H. L. Burnside,67,Independent Director,2013,
AbbVie Inc,ABBV.A,William J. Chase,51,Executive Vice President - Finance and Administration,2018,
Abeona Therapeutics Inc,ABEO.O,Christine Berni Silverstein,36,Chief Financial Officer,2019,
Abeona Therapeutics Inc,ABEO.O,Edward Carr,49,"Chief Accounting Officer, Vice President",2019,
Abeona Therapeutics Inc,ABEO.O,Joao Siffert,55,"Chief Executive Officer, Director",2019,
Abeona Therapeutics Inc,ABEO.O,Neena M. Patil,,General Counsel and Corporate Secretary,2018,
Abeona Therapeutics Inc,ABEO.O,Stefano Buono,52,Independent Director,2018,
Abeona Therapeutics Inc,ABEO.O,Stephen B. Howell,74,Independent Director,1996,
Abeona Therapeutics Inc,ABEO.O,Todd Wider,54,Independent Director,2015,
Abercrombie & Fitch Co.,ANF,Archie M. Griffin,64,Independent Director,2000,
Abercrombie & Fitch Co.,ANF,Charles R. Perrin,73,Independent Director,2014,
Abercrombie & Fitch Co.,ANF,Felix Carbullido,53,Independent Director,2019,
Abercrombie & Fitch Co.,ANF,Fran Horowitz,55,"Chief Executive Officer, Director",2017,
Abercrombie & Fitch Co.,ANF,Gregory J. Henchel,50,"Senior Vice President, General Counsel, Secretary",2018,
Abercrombie & Fitch Co.,ANF,Helen E. McCluskey,64,Independent Director,2019,
Abercrombie & Fitch Co.,ANF,James B. Bachmann,76,Independent Director,2003,
Abercrombie & Fitch Co.,ANF,Kerrii B. Anderson,62,Independent Director,2018,
Abercrombie & Fitch Co.,ANF,Kristin A. Scott,51,President - Global Brands,2018,
Abercrombie & Fitch Co.,ANF,Michael E. Greenlees,72,Independent Director,2011,
Abercrombie & Fitch Co.,ANF,Nigel Travis,69,Independent Director,2019,
Abercrombie & Fitch Co.,ANF,Sarah M. Gallagher,67,Independent Director,2014,
Abercrombie & Fitch Co.,ANF,Scott D. Lipesky,44,"Chief Financial Officer, Senior Vice President",2017,
Abercrombie & Fitch Co.,ANF,Terry Lee Burman,73,Independent Non-Executive Chairman of the Board,2018,
"ABIOMED, Inc.",ABMD.O,Andrew J. Greenfield,46,"Vice President, Chief Commercial Officer",2019,
"ABIOMED, Inc.",ABMD.O,Christopher D. Van Gorder,66,Independent Director,2016,
"ABIOMED, Inc.",ABMD.O,David M. Weber,57,Chief Operating Officer,2007,
"ABIOMED, Inc.",ABMD.O,Dorothy E. Puhy,67,Lead Independent Director,2005,
"ABIOMED, Inc.",ABMD.O,Eric A. Rose,68,Independent Director,2014,
"ABIOMED, Inc.",ABMD.O,Ian McLeod,,"Vice President, Corporate Controller",2019,
"ABIOMED, Inc.",ABMD.O,Jeannine M. Rivet,72,Independent Director,2016,
"ABIOMED, Inc.",ABMD.O,Martin P. Sutter,64,Independent Director,2008,
"ABIOMED, Inc.",ABMD.O,Michael G. Howley,55,"Vice President, General Manager - Global Sales and Marketing",2009,
"ABIOMED, Inc.",ABMD.O,Michael R. Minogue,52,"Chairman of the Board, President, Chief Executive Officer",2005,
"ABIOMED, Inc.",ABMD.O,Paul G. Thomas,63,Independent Director,2011,
"ABIOMED, Inc.",ABMD.O,Todd A. Trapp,48,"Chief Financial Officer, Vice President",2018,
"ABM Industries, Inc.",ABM,Andrea Rose Newborn,56,"Executive Vice President, General Counsel, Corporate Secretary",2017,
"ABM Industries, Inc.",ABM,Andrew D. Block,51,"Chief Human Resource Officer, Executive Vice President",2018,
"ABM Industries, Inc.",ABM,Art A. Garcia,58,Independent Director,2017,
"ABM Industries, Inc.",ABM,D. Anthony Scaglione,47,"Chief Financial Officer, Executive Vice President",2015,
"ABM Industries, Inc.",ABM,Dean A. Chin,51,"Chief Accounting Officer, Senior Vice President, Corporate Controller",2010,
"ABM Industries, Inc.",ABM,Donald F. Colleran,64,Independent Director,2018,
"ABM Industries, Inc.",ABM,Filippo Passerini,62,Independent Director,2017,
"ABM Industries, Inc.",ABM,Jill M. Golder,57,Independent Director,2019,
"ABM Industries, Inc.",ABM,Joshua H. Feinberg,45,"Executive Vice President, Chief Strategy and Transformation Officer",2019,
"ABM Industries, Inc.",ABM,LeighAnne G. Baker,61,Independent Director,2018,
"ABM Industries, Inc.",ABM,Linda L. Chavez,72,Independent Director,1997,
"ABM Industries, Inc.",ABM,Rene Jacobsen,58,"Executive Vice President, Chief Facilities Services Officer",2019,
"ABM Industries, Inc.",ABM,Scott J. Giacobbe,57,"Executive Vice President, Chief Revenue Officer",2019,
"ABM Industries, Inc.",ABM,Scott Salmirs,57,"President, Chief Executive Officer, Director",2015,
"ABM Industries, Inc.",ABM,Sudhakar Kesavan,65,Independent Chairman of the Board,2017,
"ABM Industries, Inc.",ABM,Thomas M. Gartland,62,Independent Director,2015,
"ABM Industries, Inc.",ABM,Winifred Markus Webb,61,Independent Director,2014,
Abraxas Petroleum Corp.,AXAS.O,Angela A. Meyer,57,Independent Director,,
Abraxas Petroleum Corp.,AXAS.O,Brian L. Melton,49,Independent Director,2009,
Abraxas Petroleum Corp.,AXAS.O,Dennis E. Logue,75,Independent Director,2003,
Abraxas Petroleum Corp.,AXAS.O,Dirk A. Schwartz,60,Vice President – Business Development,2017,
Abraxas Petroleum Corp.,AXAS.O,Edward P. Russell,55,Independent Director,2009,
Abraxas Petroleum Corp.,AXAS.O,George William Krog,65,"Chief Accounting Officer, Vice President",2017,
Abraxas Petroleum Corp.,AXAS.O,Harold D. Carter,80,Independent Director,2003,
Abraxas Petroleum Corp.,AXAS.O,Jerry J. Langdon,67,Independent Director,2013,
Abraxas Petroleum Corp.,AXAS.O,Kenneth Wayne Johnson,61,Vice President - Operations,2018,
Abraxas Petroleum Corp.,AXAS.O,Paul A. Powell,73,Independent Director,2005,
Abraxas Petroleum Corp.,AXAS.O,Peter A. Bommer,62,Vice President - Engineering,2012,
Abraxas Petroleum Corp.,AXAS.O,Ralph F. Cox,86,Lead Independent Director,,
Abraxas Petroleum Corp.,AXAS.O,Robert Leon Glen Watson,68,"Chairman of the Board, President, Chief Executive Officer",1977,
Abraxas Petroleum Corp.,AXAS.O,Stephen T. Wendel,69,Vice President – Marketing & Contracts and Secretary,2017,
Abraxas Petroleum Corp.,AXAS.O,Steven P. Harris,45,Vice President - Chief Financial Officer,2018,
Abraxas Petroleum Corp.,AXAS.O,Tod A. Clarke,50,Vice President – Land,2017,
Abraxas Petroleum Corp.,AXAS.O,W. Dean Karrash,57,Independent Director,2012,
"Acacia Communications, Inc.",ACIA.O,Benny P. Mikkelsen,59,"Co-Founder, Chief Technology Officer, Director",2009,
"Acacia Communications, Inc.",ACIA.O,Bhupendra C. Shah,60,Vice President - engineering,2009,
"Acacia Communications, Inc.",ACIA.O,Christian J. Rasmussen,50,"Co-Founder, Vice President - Digital Signal Processing and Optics",2015,
"Acacia Communications, Inc.",ACIA.O,David J. Aldrich,62,Independent Director,2017,
"Acacia Communications, Inc.",ACIA.O,Eric L. Fisher,47,Vice President of Global Sales,2018,
"Acacia Communications, Inc.",ACIA.O,John F. Gavin,59,Chief Financial Officer,2012,
"Acacia Communications, Inc.",ACIA.O,John Ritchie,53,Independent Director,2015,
"Acacia Communications, Inc.",ACIA.O,Laurinda Pang,,Independent Director,2019,
